number	type	latency	urevent	epoch
1.000000	111.000000	257.000000	77.000000	1.000000
2.000000	112.000000	1281.000000	85.000000	2.000000
3.000000	113.000000	2305.000000	94.000000	3.000000
4.000000	111.000000	3329.000000	188.000000	4.000000
5.000000	112.000000	4353.000000	195.000000	5.000000
6.000000	113.000000	5377.000000	201.000000	6.000000
7.000000	111.000000	6401.000000	277.000000	7.000000
8.000000	112.000000	7425.000000	286.000000	8.000000
9.000000	113.000000	8449.000000	293.000000	9.000000
10.000000	111.000000	9473.000000	301.000000	10.000000
11.000000	112.000000	10497.000000	307.000000	11.000000
12.000000	213.000000	11111.912000	308.000000	11.000000
13.000000	113.000000	11521.000000	313.000000	12.000000
14.000000	111.000000	12545.000000	368.000000	13.000000
15.000000	112.000000	13569.000000	376.000000	14.000000
16.000000	113.000000	14593.000000	384.000000	15.000000
17.000000	111.000000	15617.000000	394.000000	16.000000
18.000000	212.000000	16367.592000	395.000000	16.000000
19.000000	112.000000	16641.000000	402.000000	17.000000
20.000000	213.000000	17127.400000	403.000000	17.000000
21.000000	113.000000	17665.000000	411.000000	18.000000
22.000000	111.000000	18689.000000	419.000000	19.000000
23.000000	112.000000	19713.000000	425.000000	20.000000
24.000000	213.000000	20216.808000	426.000000	20.000000
25.000000	113.000000	20737.000000	432.000000	21.000000
26.000000	111.000000	21761.000000	463.000000	22.000000
27.000000	112.000000	22785.000000	471.000000	23.000000
28.000000	113.000000	23809.000000	478.000000	24.000000
29.000000	111.000000	24833.000000	539.000000	25.000000
30.000000	212.000000	25413.096000	540.000000	25.000000
31.000000	112.000000	25857.000000	546.000000	26.000000
32.000000	213.000000	26548.200000	547.000000	26.000000
33.000000	113.000000	26881.000000	555.000000	27.000000
34.000000	111.000000	27905.000000	690.000000	28.000000
35.000000	212.000000	28612.584000	691.000000	28.000000
36.000000	112.000000	28929.000000	698.000000	29.000000
37.000000	213.000000	29397.992000	699.000000	29.000000
38.000000	113.000000	29953.000000	707.000000	30.000000
39.000000	111.000000	30977.000000	715.000000	31.000000
40.000000	212.000000	31471.592000	716.000000	31.000000
41.000000	112.000000	32001.000000	722.000000	32.000000
42.000000	213.000000	32342.504000	723.000000	32.000000
43.000000	12.000000	32752.104000	724.000000	32.000000
44.000000	113.000000	33025.000000	730.000000	33.000000
45.000000	111.000000	34049.000000	924.000000	34.000000
46.000000	212.000000	34534.888000	925.000000	34.000000
47.000000	112.000000	35073.000000	933.000000	35.000000
48.000000	213.000000	35568.104000	934.000000	35.000000
49.000000	113.000000	36097.000000	939.000000	36.000000
50.000000	111.000000	37121.000000	995.000000	37.000000
51.000000	112.000000	38145.000000	1004.000000	38.000000
52.000000	113.000000	39169.000000	1011.000000	39.000000
53.000000	111.000000	40193.000000	1064.000000	40.000000
54.000000	112.000000	41217.000000	1071.000000	41.000000
55.000000	113.000000	42241.000000	1080.000000	42.000000
56.000000	111.000000	43265.000000	1541.000000	43.000000
57.000000	112.000000	44289.000000	1547.000000	44.000000
58.000000	213.000000	44834.792000	1548.000000	44.000000
59.000000	113.000000	45313.000000	1555.000000	45.000000
60.000000	111.000000	46337.000000	1627.000000	46.000000
61.000000	212.000000	46849.000000	1628.000000	46.000000
62.000000	112.000000	47361.000000	1635.000000	47.000000
63.000000	113.000000	48385.000000	1644.000000	48.000000
64.000000	111.000000	49409.000000	1723.000000	49.000000
65.000000	112.000000	50433.000000	1730.000000	50.000000
66.000000	213.000000	51175.400000	1731.000000	50.000000
67.000000	113.000000	51457.000000	1736.000000	51.000000
68.000000	111.000000	52481.000000	1919.000000	52.000000
69.000000	212.000000	53077.992000	1920.000000	52.000000
70.000000	112.000000	53505.000000	1928.000000	53.000000
71.000000	113.000000	54529.000000	1935.000000	54.000000
72.000000	111.000000	55553.000000	1942.000000	55.000000
73.000000	212.000000	56106.984000	1943.000000	55.000000
74.000000	112.000000	56577.000000	1950.000000	56.000000
75.000000	113.000000	57601.000000	1957.000000	57.000000
76.000000	111.000000	58625.000000	2142.000000	58.000000
77.000000	112.000000	59649.000000	2148.000000	59.000000
78.000000	213.000000	60084.200000	2149.000000	59.000000
79.000000	113.000000	60673.000000	2157.000000	60.000000
80.000000	111.000000	61697.000000	2166.000000	61.000000
81.000000	212.000000	62421.992000	2167.000000	61.000000
82.000000	112.000000	62721.000000	2174.000000	62.000000
83.000000	213.000000	63437.288000	2175.000000	62.000000
84.000000	113.000000	63745.000000	2182.000000	63.000000
85.000000	111.000000	64769.000000	2241.000000	64.000000
86.000000	212.000000	65349.096000	2242.000000	64.000000
87.000000	112.000000	65793.000000	2247.000000	65.000000
88.000000	213.000000	66330.088000	2248.000000	65.000000
89.000000	113.000000	66817.000000	2255.000000	66.000000
